Day/Month;Morning;Evening
5/22;I Chr 6,7;John 8:21-36
5/23;I Chr 8,9,10;John 8:37-59
5/24;I Chr 11,12,13;John 9:1-23
5/25;I Chr 14,15,16;John 9:24-41
5/26;I Chr 17,18,19;John 10:1-21
5/27;I Chr 20,21,22;John 10:22-42
5/28;I Chr 23,24,25;John 11:1-17
5/29;I Chr 26,27;John 11:18-46
5/30;I Chr 28,29;John 11:47-57
5/31;II Chr 1,2,3;John 12:1-19
6/1;II Chr 4,5,6;John 12:20-50
6/2;II Chr 7,8,9;John 13:1-17
6/3;II Chr 10,11,12;John 13:18-38
6/4;II Chr 13-16;John 14
6/5;II Chr 17,18,19;John 15
6/6;II Chr 20,21,22;John 16:1-16
6/7;II Chr 23,24,25;John 16:16-33
6/8;II Chr 26,27,28;John 17
6/9;II Chr 29,30,31;John 18:1-23
6/10;II Chr 32,33;John 18:24-40
6/11;II Chr 34,35,36;John 19:1-22
6/12;Ezra 1,2;John 19:23-42
6/13;Ezra 3,4,5;John 20
6/14;Ezra 6,7,8;John 21
6/15;Ezra 9,10;Acts 1
6/16;Neh 1,2,3;Acts 2:1-13
6/17;Neh 4,5,6;Acts 2:14-47
6/18;Neh 7,8;Acts 3
6/19;Neh 9,10,11;Acts 4:1-22
6/20;Neh 12,13;Acts 4:23-37
6/21;Esther 1,2,3;Acts 5:1-16
6/22;Esther 4,5,6;Acts 5:17-42
6/23;Esther 7,8,9,10;Acts 6
6/24;Job 1,2,3;Acts 7:1-19
6/25;Job 4,5,6;Acts 7:20-43
6/26;Job 7,8,9;Acts 7:44-60
6/27;Job 10,11,12;Acts 8:1-25
6/28;Job 13,14,15;Acts 8:26-40
6/29;Job 16,17,18;Acts 9:1-22
6/30;Job 19,20;Acts 9:23-43
7/1;Job 21,22;Acts 10:1-23
7/2;Job 23,24,25;Acts 10:24-48
7/3;Job 26,27,28;Acts 11
7/4;Job 29,30;Acts 12
7/5;Job 31,32;Acts 13:1-23
7/6;Job 33,34;Acts 13:24-52
7/7;Job 35,36,37;Acts 14
7/8;Job 38,39;Acts 15:1-21
7/9;Job 40,41,42;Acts 15:22-41
7/10;Psa 1,2,3;Acts 16:1-15
7/11;Psa 4,5,6;Acts 16:16-40
7/12;Psa 7,8,9;Acts 17:1-15
7/13;Psa 10,11,12;Acts 17:16-34
7/14;Psa 13-16;Acts 18
7/15;Psa 17,18;Acts 19:1-20
7/16;Psa 19,20,21;Acts 19:21-41
7/17;Psa 22,23,24;Acts 20:1-16
7/18;Psa 25,26,27;Acts 20:17-38
7/19;Psa 28,29,30;Acts 21:1-14
7/20;Psa 31,32,33;Acts 21:15-40
7/21;Psa 34,35;Acts 22
7/22;Psa 36,37;Acts 23:1-11
7/23;Psa 38,39,40;Acts 23:12-35
7/24;Psa 41,42,43;Acts 24
7/25;Psa 44,45,46;Acts 25
